"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","370210034","3","0.6","ug/m3 LC","3","Board Of Ed. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6062000008935","-82.5844"
"01/02/2020","AQS","370210034","3","7.2","ug/m3 LC","30","Board Of Ed. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6062000008935","-82.5844"
"01/03/2020","AQS","370210034","3","3","ug/m3 LC","13","Board Of Ed. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6062000008935","-82.5844"
"01/04/2020","AQS","370210034","3","0","ug/m3 LC","0","Board Of Ed. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6062000008935","-82.5844"
"01/05/2020","AQS","370210034","3","0.9","ug/m3 LC","4","Board Of Ed. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6062000008935","-82.5844"
"01/06/2020","AQS","370210034","3","1.2","ug/m3 LC","5","Board Of Ed. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6062000008935","-82.5844"
"01/07/2020","AQS","370210034","3","2.9","ug/m3 LC","12","Board Of Ed. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6062000008935","-82.5844"
"01/08/2020","AQS","370210034","3","1.7","ug/m3 LC","7","Board Of Ed. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6062000008935","-82.5844"
"01/09/2020","AQS","370210034","3","5.3","ug/m3 LC","22","Board Of Ed. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6062000008935","-82.5844"
"01/10/2020","AQS","370210034","3","3.8","ug/m3 LC","16","Board Of Ed. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6062000008935","-82.5844"
"01/11/2020","AQS","370210034","3","0.4","ug/m3 LC","2","Board Of Ed. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","11700","Asheville, NC","37","North Carolina","021","Buncombe","35.6062000008935","-82.5844"
