"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","080010008","1","17","ug/m3 SC","16","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/02/2020","AQS","080010008","1","26","ug/m3 SC","24","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/03/2020","AQS","080010008","1","31","ug/m3 SC","29","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/04/2020","AQS","080010008","1","24","ug/m3 SC","22","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/05/2020","AQS","080010008","1","13","ug/m3 SC","12","Tri County Health Dept. Bldg.","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/04/2020","AQS","080013001","2","16","ug/m3 SC","15","Welby","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/10/2020","AQS","080013001","2","13","ug/m3 SC","12","Welby","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/16/2020","AQS","080013001","2","33","ug/m3 SC","31","Welby","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"01/01/2020","AQS","080070001","3","12","ug/m3 SC","11","PAGOSA SPRINGS SCHOOL","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","007","Archuleta","37.2684200009095","-107.009659"
"01/02/2020","AQS","080070001","3","8","ug/m3 SC","7","PAGOSA SPRINGS SCHOOL","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","007","Archuleta","37.2684200009095","-107.009659"
"01/03/2020","AQS","080070001","3","8","ug/m3 SC","7","PAGOSA SPRINGS SCHOOL","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","007","Archuleta","37.2684200009095","-107.009659"
"01/04/2020","AQS","080070001","3","22","ug/m3 SC","20","PAGOSA SPRINGS SCHOOL","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","007","Archuleta","37.2684200009095","-107.009659"
"01/05/2020","AQS","080070001","3","21","ug/m3 SC","19","PAGOSA SPRINGS SCHOOL","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","007","Archuleta","37.2684200009095","-107.009659"
"01/06/2020","AQS","080070001","3","17","ug/m3 SC","16","PAGOSA SPRINGS SCHOOL","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","007","Archuleta","37.2684200009095","-107.009659"
"01/07/2020","AQS","080070001","3","35","ug/m3 SC","32","PAGOSA SPRINGS SCHOOL","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","007","Archuleta","37.2684200009095","-107.009659"
"01/08/2020","AQS","080070001","3","44","ug/m3 SC","41","PAGOSA SPRINGS SCHOOL","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","007","Archuleta","37.2684200009095","-107.009659"
"01/09/2020","AQS","080070001","3","24","ug/m3 SC","22","PAGOSA SPRINGS SCHOOL","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","007","Archuleta","37.2684200009095","-107.009659"
"01/10/2020","AQS","080070001","3","7","ug/m3 SC","6","PAGOSA SPRINGS SCHOOL","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","007","Archuleta","37.2684200009095","-107.009659"
"01/11/2020","AQS","080070001","3","8","ug/m3 SC","7","PAGOSA SPRINGS SCHOOL","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","007","Archuleta","37.2684200009095","-107.009659"
"01/12/2020","AQS","080070001","3","8","ug/m3 SC","7","PAGOSA SPRINGS SCHOOL","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","007","Archuleta","37.2684200009095","-107.009659"
"01/04/2020","AQS","080130003","2","34","ug/m3 SC","31","LONGMONT - MUNICIPAL BLDG","1","100.0000","81102","PM10 Total 0-10um STP","14500","Boulder, CO","08","Colorado","013","Boulder","40.1645760009301","-105.100856"
"01/04/2020","AQS","080130003","3","24","ug/m3 SC","22","LONGMONT - MUNICIPAL BLDG","1","100.0000","81102","PM10 Total 0-10um STP","14500","Boulder, CO","08","Colorado","013","Boulder","40.1645760009301","-105.100856"
"01/04/2020","AQS","080130012","1","12","ug/m3 SC","11","BOULDER CHAMBER OF COMMERCE","1","100.0000","81102","PM10 Total 0-10um STP","14500","Boulder, CO","08","Colorado","013","Boulder","40.0210970009293","-105.263382"
"01/10/2020","AQS","080130012","1","21","ug/m3 SC","19","BOULDER CHAMBER OF COMMERCE","1","100.0000","81102","PM10 Total 0-10um STP","14500","Boulder, CO","08","Colorado","013","Boulder","40.0210970009293","-105.263382"
"01/04/2020","AQS","080310002","1","31","ug/m3 SC","29","DENVER - CAMP","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","031","Denver","39.7511840009277","-104.987625"
"01/10/2020","AQS","080310002","1","25","ug/m3 SC","23","DENVER - CAMP","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","031","Denver","39.7511840009277","-104.987625"
"01/16/2020","AQS","080310002","1","66","ug/m3 SC","56","DENVER - CAMP","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","031","Denver","39.7511840009277","-104.987625"
"01/04/2020","AQS","080310002","2","30","ug/m3 SC","28","DENVER - CAMP","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","031","Denver","39.7511840009277","-104.987625"
"01/10/2020","AQS","080310002","2","25","ug/m3 SC","23","DENVER - CAMP","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","031","Denver","39.7511840009277","-104.987625"
"01/16/2020","AQS","080310002","2","67","ug/m3 SC","57","DENVER - CAMP","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","031","Denver","39.7511840009277","-104.987625"
"01/01/2020","AQS","080310026","1","10","ug/m3 SC","9","La Casa","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","031","Denver","39.77949","-105.00518"
"01/04/2020","AQS","080310026","1","13","ug/m3 SC","12","La Casa","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","031","Denver","39.77949","-105.00518"
"01/04/2020","AQS","080310026","2","14","ug/m3 SC","13","La Casa","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","031","Denver","39.77949","-105.00518"
"01/04/2020","AQS","080410017","1","21","ug/m3 SC","19","COLORADO SPRINGS - COLLEGE COLLEGE","1","100.0000","81102","PM10 Total 0-10um STP","17820","Colorado Springs, CO","08","Colorado","041","El Paso","38.8480140009219","-104.828564"
"01/01/2020","AQS","080770017","1","14","ug/m3 SC","13","GRAND JUNCTION - POWELL BLDG","1","100.0000","81102","PM10 Total 0-10um STP","24300","Grand Junction, CO","08","Colorado","077","Mesa","39.0637980009234","-108.561173"
"01/04/2020","AQS","080770017","1","16","ug/m3 SC","15","GRAND JUNCTION - POWELL BLDG","1","100.0000","81102","PM10 Total 0-10um STP","24300","Grand Junction, CO","08","Colorado","077","Mesa","39.0637980009234","-108.561173"
"01/04/2020","AQS","080770017","2","16","ug/m3 SC","15","GRAND JUNCTION - POWELL BLDG","1","100.0000","81102","PM10 Total 0-10um STP","24300","Grand Junction, CO","08","Colorado","077","Mesa","39.0637980009234","-108.561173"
"01/01/2020","AQS","080990002","2","8","ug/m3 SC","7","Lamar Municipal Bldg","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","099","Prowers","38.0846880009163","-102.618641"
"01/02/2020","AQS","080990002","2","9","ug/m3 SC","8","Lamar Municipal Bldg","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","099","Prowers","38.0846880009163","-102.618641"
"01/03/2020","AQS","080990002","2","10","ug/m3 SC","9","Lamar Municipal Bldg","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","099","Prowers","38.0846880009163","-102.618641"
"01/04/2020","AQS","080990002","2","13","ug/m3 SC","12","Lamar Municipal Bldg","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","099","Prowers","38.0846880009163","-102.618641"
"01/05/2020","AQS","080990002","2","6","ug/m3 SC","6","Lamar Municipal Bldg","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","099","Prowers","38.0846880009163","-102.618641"
"01/06/2020","AQS","080990002","2","22","ug/m3 SC","20","Lamar Municipal Bldg","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","099","Prowers","38.0846880009163","-102.618641"
"01/07/2020","AQS","080990002","2","14","ug/m3 SC","13","Lamar Municipal Bldg","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","099","Prowers","38.0846880009163","-102.618641"
"01/08/2020","AQS","080990002","2","19","ug/m3 SC","18","Lamar Municipal Bldg","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","099","Prowers","38.0846880009163","-102.618641"
"01/09/2020","AQS","080990002","2","19","ug/m3 SC","18","Lamar Municipal Bldg","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","099","Prowers","38.0846880009163","-102.618641"
"01/10/2020","AQS","080990002","2","12","ug/m3 SC","11","Lamar Municipal Bldg","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","099","Prowers","38.0846880009163","-102.618641"
"01/11/2020","AQS","080990002","2","5","ug/m3 SC","5","Lamar Municipal Bldg","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","099","Prowers","38.0846880009163","-102.618641"
"01/01/2020","AQS","081010015","1","10","ug/m3 SC","9","Pueblo - Fountain School","1","100.0000","81102","PM10 Total 0-10um STP","39380","Pueblo, CO","08","Colorado","101","Pueblo","38.2760990009177","-104.597613"
"01/01/2020","AQS","081070003","2","10","ug/m3 SC","9","Steamboat Springs","1","100.0000","81102","PM10 Total 0-10um STP","44460","Steamboat Springs, CO","08","Colorado","107","Routt","40.4852010009318","-106.831625"
"01/01/2020","AQS","081130004","1","5","ug/m3 SC","5","Telluride","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","113","San Miguel","37.9378720009151","-107.813061"
"01/04/2020","AQS","081130004","1","8","ug/m3 SC","7","Telluride","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","113","San Miguel","37.9378720009151","-107.813061"
"01/07/2020","AQS","081130004","1","8","ug/m3 SC","7","Telluride","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","113","San Miguel","37.9378720009151","-107.813061"
"01/10/2020","AQS","081130004","1","5","ug/m3 SC","5","Telluride","1","100.0000","81102","PM10 Total 0-10um STP","","","08","Colorado","113","San Miguel","37.9378720009151","-107.813061"
