"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","220150008","2","31","ug/m3 SC","29","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/02/2020","AQS","220150008","2","11","ug/m3 SC","10","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/03/2020","AQS","220150008","2","12","ug/m3 SC","11","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/04/2020","AQS","220150008","2","9","ug/m3 SC","8","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/05/2020","AQS","220150008","2","13","ug/m3 SC","12","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/06/2020","AQS","220150008","2","13","ug/m3 SC","12","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/07/2020","AQS","220150008","2","14","ug/m3 SC","13","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/08/2020","AQS","220150008","2","27","ug/m3 SC","25","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/09/2020","AQS","220150008","2","15","ug/m3 SC","14","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/10/2020","AQS","220150008","2","14","ug/m3 SC","13","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/11/2020","AQS","220150008","2","5","ug/m3 SC","5","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/12/2020","AQS","220150008","2","9","ug/m3 SC","8","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/13/2020","AQS","220150008","2","13","ug/m3 SC","12","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/14/2020","AQS","220150008","2","7","ug/m3 SC","6","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/15/2020","AQS","220150008","2","10","ug/m3 SC","9","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/16/2020","AQS","220150008","2","7","ug/m3 SC","6","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/17/2020","AQS","220150008","2","12","ug/m3 SC","11","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/18/2020","AQS","220150008","2","13","ug/m3 SC","12","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/19/2020","AQS","220150008","2","7","ug/m3 SC","6","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/20/2020","AQS","220150008","2","9","ug/m3 SC","8","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/23/2020","AQS","220150008","2","5","ug/m3 SC","5","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/24/2020","AQS","220150008","2","9","ug/m3 SC","8","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/25/2020","AQS","220150008","2","12","ug/m3 SC","11","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/26/2020","AQS","220150008","2","10","ug/m3 SC","9","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/27/2020","AQS","220150008","2","14","ug/m3 SC","13","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/28/2020","AQS","220150008","2","11","ug/m3 SC","10","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/29/2020","AQS","220150008","2","6","ug/m3 SC","6","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/30/2020","AQS","220150008","2","12","ug/m3 SC","11","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/31/2020","AQS","220150008","2","10","ug/m3 SC","9","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"02/01/2020","AQS","220150008","2","13","ug/m3 SC","12","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"02/02/2020","AQS","220150008","2","11","ug/m3 SC","10","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"02/03/2020","AQS","220150008","2","13","ug/m3 SC","12","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"02/04/2020","AQS","220150008","2","14","ug/m3 SC","13","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"02/05/2020","AQS","220150008","2","4","ug/m3 SC","4","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"02/06/2020","AQS","220150008","2","8","ug/m3 SC","7","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"02/07/2020","AQS","220150008","2","14","ug/m3 SC","13","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"02/08/2020","AQS","220150008","2","13","ug/m3 SC","12","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"02/09/2020","AQS","220150008","2","12","ug/m3 SC","11","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"02/10/2020","AQS","220150008","2","5","ug/m3 SC","5","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"02/11/2020","AQS","220150008","2","2","ug/m3 SC","2","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"02/12/2020","AQS","220150008","2","4","ug/m3 SC","4","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"02/18/2020","AQS","220150008","2","15","ug/m3 SC","14","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"02/19/2020","AQS","220150008","2","6","ug/m3 SC","6","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"02/20/2020","AQS","220150008","2","5","ug/m3 SC","5","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"02/21/2020","AQS","220150008","2","7","ug/m3 SC","6","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"02/22/2020","AQS","220150008","2","11","ug/m3 SC","10","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"02/23/2020","AQS","220150008","2","12","ug/m3 SC","11","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"02/24/2020","AQS","220150008","2","10","ug/m3 SC","9","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"02/25/2020","AQS","220150008","2","10","ug/m3 SC","9","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"02/26/2020","AQS","220150008","2","9","ug/m3 SC","8","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"02/27/2020","AQS","220150008","2","12","ug/m3 SC","11","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"02/28/2020","AQS","220150008","2","14","ug/m3 SC","13","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"02/29/2020","AQS","220150008","2","19","ug/m3 SC","18","Shreveport / Airport","1","100.0000","81102","PM10 Total 0-10um STP","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.536273","-93.74894"
"01/01/2020","AQS","220330009","1","30","ug/m3 SC","28","Capitol","1","100.0000","81102","PM10 Total 0-10um STP","12940","Baton Rouge, LA","22","Louisiana","033","East Baton Rouge","30.461981","-91.179219"
"01/02/2020","AQS","220330009","1","10","ug/m3 SC","9","Capitol","1","100.0000","81102","PM10 Total 0-10um STP","12940","Baton Rouge, LA","22","Louisiana","033","East Baton Rouge","30.461981","-91.179219"
"01/03/2020","AQS","220330009","1","9","ug/m3 SC","8","Capitol","1","100.0000","81102","PM10 Total 0-10um STP","12940","Baton Rouge, LA","22","Louisiana","033","East Baton Rouge","30.461981","-91.179219"
"01/04/2020","AQS","220330009","1","12","ug/m3 SC","11","Capitol","1","100.0000","81102","PM10 Total 0-10um STP","12940","Baton Rouge, LA","22","Louisiana","033","East Baton Rouge","30.461981","-91.179219"
"01/05/2020","AQS","220330009","1","15","ug/m3 SC","14","Capitol","1","100.0000","81102","PM10 Total 0-10um STP","12940","Baton Rouge, LA","22","Louisiana","033","East Baton Rouge","30.461981","-91.179219"
"01/06/2020","AQS","220330009","1","13","ug/m3 SC","12","Capitol","1","100.0000","81102","PM10 Total 0-10um STP","12940","Baton Rouge, LA","22","Louisiana","033","East Baton Rouge","30.461981","-91.179219"
"01/07/2020","AQS","220330009","1","17","ug/m3 SC","16","Capitol","1","100.0000","81102","PM10 Total 0-10um STP","12940","Baton Rouge, LA","22","Louisiana","033","East Baton Rouge","30.461981","-91.179219"
