"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","370030005","3","6","ug/m3 SC","6","Taylorsville Liledoun","1","100.0000","81102","PM10 Total 0-10um STP","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"01/02/2020","AQS","370030005","3","11","ug/m3 SC","10","Taylorsville Liledoun","1","100.0000","81102","PM10 Total 0-10um STP","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"01/03/2020","AQS","370030005","3","7","ug/m3 SC","6","Taylorsville Liledoun","1","100.0000","81102","PM10 Total 0-10um STP","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"01/04/2020","AQS","370030005","3","4","ug/m3 SC","4","Taylorsville Liledoun","1","100.0000","81102","PM10 Total 0-10um STP","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"01/05/2020","AQS","370030005","3","3","ug/m3 SC","3","Taylorsville Liledoun","1","100.0000","81102","PM10 Total 0-10um STP","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"01/06/2020","AQS","370030005","3","7","ug/m3 SC","6","Taylorsville Liledoun","1","100.0000","81102","PM10 Total 0-10um STP","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"01/11/2020","AQS","370030005","3","10","ug/m3 SC","9","Taylorsville Liledoun","1","100.0000","81102","PM10 Total 0-10um STP","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"01/12/2020","AQS","370030005","3","7","ug/m3 SC","6","Taylorsville Liledoun","1","100.0000","81102","PM10 Total 0-10um STP","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"01/13/2020","AQS","370030005","3","11","ug/m3 SC","10","Taylorsville Liledoun","1","100.0000","81102","PM10 Total 0-10um STP","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"01/14/2020","AQS","370030005","3","7","ug/m3 SC","6","Taylorsville Liledoun","1","100.0000","81102","PM10 Total 0-10um STP","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"01/15/2020","AQS","370030005","3","7","ug/m3 SC","6","Taylorsville Liledoun","1","100.0000","81102","PM10 Total 0-10um STP","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"01/16/2020","AQS","370030005","3","5","ug/m3 SC","5","Taylorsville Liledoun","1","100.0000","81102","PM10 Total 0-10um STP","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"01/17/2020","AQS","370030005","3","4","ug/m3 SC","4","Taylorsville Liledoun","1","100.0000","81102","PM10 Total 0-10um STP","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"01/18/2020","AQS","370030005","3","8","ug/m3 SC","7","Taylorsville Liledoun","1","100.0000","81102","PM10 Total 0-10um STP","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
"01/19/2020","AQS","370030005","3","4","ug/m3 SC","4","Taylorsville Liledoun","1","100.0000","81102","PM10 Total 0-10um STP","25860","Hickory-Lenoir-Morganton, NC","37","North Carolina","003","Alexander","35.9138000008966","-81.191"
