"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/04/2020","AQS","390130006","1","6","ug/m3 SC","6","Shadyside","1","100.0000","81102","PM10 Total 0-10um STP","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/10/2020","AQS","390130006","1","16","ug/m3 SC","15","Shadyside","1","100.0000","81102","PM10 Total 0-10um STP","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/16/2020","AQS","390130006","1","8","ug/m3 SC","7","Shadyside","1","100.0000","81102","PM10 Total 0-10um STP","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/22/2020","AQS","390130006","1","25","ug/m3 SC","23","Shadyside","1","100.0000","81102","PM10 Total 0-10um STP","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/31/2020","AQS","390130006","1","30","ug/m3 SC","28","Shadyside","1","100.0000","81102","PM10 Total 0-10um STP","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/04/2020","AQS","390130006","2","6","ug/m3 SC","6","Shadyside","1","100.0000","81102","PM10 Total 0-10um STP","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/10/2020","AQS","390130006","2","17","ug/m3 SC","16","Shadyside","1","100.0000","81102","PM10 Total 0-10um STP","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/16/2020","AQS","390130006","2","8","ug/m3 SC","7","Shadyside","1","100.0000","81102","PM10 Total 0-10um STP","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/22/2020","AQS","390130006","2","25","ug/m3 SC","23","Shadyside","1","100.0000","81102","PM10 Total 0-10um STP","48540","Wheeling, WV-OH","39","Ohio","013","Belmont","39.9679","-80.7464"
"01/04/2020","AQS","390170015","2","11","ug/m3 SC","10","Ohio Bell","1","100.0000","81102","PM10 Total 0-10um STP","17140","Cincinnati, OH-KY-IN","39","Ohio","017","Butler","39.49072","-84.36374"
"01/10/2020","AQS","390170015","2","14","ug/m3 SC","13","Ohio Bell","1","100.0000","81102","PM10 Total 0-10um STP","17140","Cincinnati, OH-KY-IN","39","Ohio","017","Butler","39.49072","-84.36374"
"01/16/2020","AQS","390170015","2","10","ug/m3 SC","9","Ohio Bell","1","100.0000","81102","PM10 Total 0-10um STP","17140","Cincinnati, OH-KY-IN","39","Ohio","017","Butler","39.49072","-84.36374"
"01/22/2020","AQS","390170015","2","20","ug/m3 SC","19","Ohio Bell","1","100.0000","81102","PM10 Total 0-10um STP","17140","Cincinnati, OH-KY-IN","39","Ohio","017","Butler","39.49072","-84.36374"
