"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","280490020","1","31","ug/m3 SC","29","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/02/2020","AQS","280490020","1","6","ug/m3 SC","6","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/03/2020","AQS","280490020","1","10","ug/m3 SC","9","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/04/2020","AQS","280490020","1","10","ug/m3 SC","9","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/05/2020","AQS","280490020","1","13","ug/m3 SC","12","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/08/2020","AQS","280490020","1","25","ug/m3 SC","23","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/09/2020","AQS","280490020","1","26","ug/m3 SC","24","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/10/2020","AQS","280490020","1","17","ug/m3 SC","16","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/11/2020","AQS","280490020","1","8","ug/m3 SC","7","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/12/2020","AQS","280490020","1","11","ug/m3 SC","10","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/13/2020","AQS","280490020","1","20","ug/m3 SC","19","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/14/2020","AQS","280490020","1","8","ug/m3 SC","7","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/15/2020","AQS","280490020","1","15","ug/m3 SC","14","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/16/2020","AQS","280490020","1","13","ug/m3 SC","12","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/17/2020","AQS","280490020","1","12","ug/m3 SC","11","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/18/2020","AQS","280490020","1","13","ug/m3 SC","12","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/19/2020","AQS","280490020","1","5","ug/m3 SC","5","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/20/2020","AQS","280490020","1","8","ug/m3 SC","7","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/21/2020","AQS","280490020","1","11","ug/m3 SC","10","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/22/2020","AQS","280490020","1","18","ug/m3 SC","17","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/23/2020","AQS","280490020","1","17","ug/m3 SC","16","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/24/2020","AQS","280490020","1","10","ug/m3 SC","9","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/25/2020","AQS","280490020","1","15","ug/m3 SC","14","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/26/2020","AQS","280490020","1","12","ug/m3 SC","11","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/27/2020","AQS","280490020","1","13","ug/m3 SC","12","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/28/2020","AQS","280490020","1","16","ug/m3 SC","15","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/29/2020","AQS","280490020","1","11","ug/m3 SC","10","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/30/2020","AQS","280490020","1","16","ug/m3 SC","15","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"01/31/2020","AQS","280490020","1","16","ug/m3 SC","15","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/01/2020","AQS","280490020","1","13","ug/m3 SC","12","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/02/2020","AQS","280490020","1","14","ug/m3 SC","13","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/03/2020","AQS","280490020","1","13","ug/m3 SC","12","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/04/2020","AQS","280490020","1","15","ug/m3 SC","14","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/05/2020","AQS","280490020","1","14","ug/m3 SC","13","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/06/2020","AQS","280490020","1","4","ug/m3 SC","4","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/07/2020","AQS","280490020","1","9","ug/m3 SC","8","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/08/2020","AQS","280490020","1","10","ug/m3 SC","9","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/09/2020","AQS","280490020","1","13","ug/m3 SC","12","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/10/2020","AQS","280490020","1","12","ug/m3 SC","11","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/11/2020","AQS","280490020","1","6","ug/m3 SC","6","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/12/2020","AQS","280490020","1","8","ug/m3 SC","7","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/13/2020","AQS","280490020","1","4","ug/m3 SC","4","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/14/2020","AQS","280490020","1","7","ug/m3 SC","6","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/15/2020","AQS","280490020","1","9","ug/m3 SC","8","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/16/2020","AQS","280490020","1","10","ug/m3 SC","9","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/17/2020","AQS","280490020","1","9","ug/m3 SC","8","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/18/2020","AQS","280490020","1","12","ug/m3 SC","11","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/19/2020","AQS","280490020","1","8","ug/m3 SC","7","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/20/2020","AQS","280490020","1","4","ug/m3 SC","4","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/21/2020","AQS","280490020","1","10","ug/m3 SC","9","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/22/2020","AQS","280490020","1","12","ug/m3 SC","11","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/23/2020","AQS","280490020","1","16","ug/m3 SC","15","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/24/2020","AQS","280490020","1","13","ug/m3 SC","12","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/25/2020","AQS","280490020","1","12","ug/m3 SC","11","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/26/2020","AQS","280490020","1","7","ug/m3 SC","6","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/27/2020","AQS","280490020","1","9","ug/m3 SC","8","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/28/2020","AQS","280490020","1","18","ug/m3 SC","17","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
"02/29/2020","AQS","280490020","1","18","ug/m3 SC","17","Jackson NCORE","1","100.0000","81102","PM10 Total 0-10um STP","27140","Jackson, MS","28","Mississippi","049","Hinds","32.329111","-90.182722"
