"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AirNow","010730023","3","5.4","ug/m3 LC","23","North Birmingham","1","100.0000","88101","PM2.5 - Local Conditions","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/02/2020","AirNow","010730023","3","5.9","ug/m3 LC","25","North Birmingham","1","100.0000","88101","PM2.5 - Local Conditions","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/03/2020","AirNow","010730023","3","5.5","ug/m3 LC","23","North Birmingham","1","100.0000","88101","PM2.5 - Local Conditions","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/04/2020","AirNow","010730023","3","5.3","ug/m3 LC","22","North Birmingham","1","100.0000","88101","PM2.5 - Local Conditions","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/05/2020","AirNow","010730023","3","5.4","ug/m3 LC","23","North Birmingham","1","100.0000","88101","PM2.5 - Local Conditions","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/06/2020","AirNow","010730023","3","7.2","ug/m3 LC","30","North Birmingham","1","100.0000","88101","PM2.5 - Local Conditions","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/07/2020","AirNow","010730023","3","4.3","ug/m3 LC","18","North Birmingham","1","100.0000","88101","PM2.5 - Local Conditions","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/08/2020","AirNow","010730023","3","13.5","ug/m3 LC","54","North Birmingham","1","100.0000","88101","PM2.5 - Local Conditions","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/09/2020","AirNow","010730023","3","14.6","ug/m3 LC","56","North Birmingham","1","100.0000","88101","PM2.5 - Local Conditions","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/10/2020","AirNow","010730023","3","10.5","ug/m3 LC","44","North Birmingham","1","100.0000","88101","PM2.5 - Local Conditions","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/11/2020","AirNow","010730023","3","5.2","ug/m3 LC","22","North Birmingham","1","100.0000","88101","PM2.5 - Local Conditions","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/12/2020","AirNow","010730023","3","6.6","ug/m3 LC","28","North Birmingham","1","100.0000","88101","PM2.5 - Local Conditions","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/13/2020","AirNow","010730023","3","8.7","ug/m3 LC","36","North Birmingham","1","100.0000","88101","PM2.5 - Local Conditions","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/14/2020","AirNow","010730023","3","4.9","ug/m3 LC","20","North Birmingham","1","100.0000","88101","PM2.5 - Local Conditions","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/15/2020","AirNow","010730023","3","6","ug/m3 LC","25","North Birmingham","1","100.0000","88101","PM2.5 - Local Conditions","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/16/2020","AirNow","010730023","3","6.3","ug/m3 LC","26","North Birmingham","1","100.0000","88101","PM2.5 - Local Conditions","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/17/2020","AirNow","010730023","3","4.6","ug/m3 LC","19","North Birmingham","1","100.0000","88101","PM2.5 - Local Conditions","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/18/2020","AirNow","010730023","3","7.3","ug/m3 LC","30","North Birmingham","1","100.0000","88101","PM2.5 - Local Conditions","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/19/2020","AirNow","010730023","3","3","ug/m3 LC","13","North Birmingham","1","100.0000","88101","PM2.5 - Local Conditions","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
