"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/03/2019","AQS","230010011","1","10.6","ug/m3 LC","44","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","88101","PM2.5 - Local Conditions","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"01/09/2019","AQS","230010011","1","1.8","ug/m3 LC","8","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","88101","PM2.5 - Local Conditions","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"01/15/2019","AQS","230010011","1","11.2","ug/m3 LC","47","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","88101","PM2.5 - Local Conditions","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"01/21/2019","AQS","230010011","1","2.6","ug/m3 LC","11","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","88101","PM2.5 - Local Conditions","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"01/27/2019","AQS","230010011","1","9.2","ug/m3 LC","38","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","88101","PM2.5 - Local Conditions","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"02/02/2019","AQS","230010011","1","13.8","ug/m3 LC","55","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","88101","PM2.5 - Local Conditions","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"02/08/2019","AQS","230010011","1","3.6","ug/m3 LC","15","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","88101","PM2.5 - Local Conditions","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"02/14/2019","AQS","230010011","1","6","ug/m3 LC","25","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","88101","PM2.5 - Local Conditions","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"02/20/2019","AQS","230010011","1","10.7","ug/m3 LC","45","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","88101","PM2.5 - Local Conditions","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"02/26/2019","AQS","230010011","1","2.6","ug/m3 LC","11","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","88101","PM2.5 - Local Conditions","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"03/04/2019","AQS","230010011","1","5.1","ug/m3 LC","21","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","88101","PM2.5 - Local Conditions","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"03/10/2019","AQS","230010011","1","4.6","ug/m3 LC","19","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","88101","PM2.5 - Local Conditions","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"03/16/2019","AQS","230010011","1","3.8","ug/m3 LC","16","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","88101","PM2.5 - Local Conditions","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"03/22/2019","AQS","230010011","1","1.9","ug/m3 LC","8","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","88101","PM2.5 - Local Conditions","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"03/28/2019","AQS","230010011","1","5.7","ug/m3 LC","24","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","88101","PM2.5 - Local Conditions","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"04/03/2019","AQS","230010011","1","4.3","ug/m3 LC","18","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","88101","PM2.5 - Local Conditions","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"04/09/2019","AQS","230010011","1","3.5","ug/m3 LC","15","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","88101","PM2.5 - Local Conditions","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"04/15/2019","AQS","230010011","1","2.1","ug/m3 LC","9","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","88101","PM2.5 - Local Conditions","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"04/21/2019","AQS","230010011","1","1.5","ug/m3 LC","6","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","88101","PM2.5 - Local Conditions","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"04/27/2019","AQS","230010011","1","1.4","ug/m3 LC","6","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","88101","PM2.5 - Local Conditions","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"05/03/2019","AQS","230010011","1","2.9","ug/m3 LC","12","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","88101","PM2.5 - Local Conditions","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
"05/09/2019","AQS","230010011","1","2.7","ug/m3 LC","11","COUNTRY KITCHEN BAKERY PARKING LOT","1","100.0000","88101","PM2.5 - Local Conditions","30340","Lewiston-Auburn, ME","23","Maine","001","Androscoggin","44.089406","-70.214219"
