"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AirNow","330050007","3","-0.5","ug/m3 LC","0","WATER STREET","1","100.0000","88101","PM2.5 - Local Conditions","28300","Keene, NH","33","New Hampshire","005","Cheshire","42.9305210009409","-72.272332"
"01/02/2020","AirNow","330050007","3","5.9","ug/m3 LC","25","WATER STREET","1","100.0000","88101","PM2.5 - Local Conditions","28300","Keene, NH","33","New Hampshire","005","Cheshire","42.9305210009409","-72.272332"
"01/03/2020","AirNow","330050007","3","9.3","ug/m3 LC","39","WATER STREET","1","100.0000","88101","PM2.5 - Local Conditions","28300","Keene, NH","33","New Hampshire","005","Cheshire","42.9305210009409","-72.272332"
"01/04/2020","AirNow","330050007","3","12.2","ug/m3 LC","51","WATER STREET","1","100.0000","88101","PM2.5 - Local Conditions","28300","Keene, NH","33","New Hampshire","005","Cheshire","42.9305210009409","-72.272332"
"01/05/2020","AirNow","330050007","3","1","ug/m3 LC","4","WATER STREET","1","100.0000","88101","PM2.5 - Local Conditions","28300","Keene, NH","33","New Hampshire","005","Cheshire","42.9305210009409","-72.272332"
"01/06/2020","AirNow","330050007","3","7.2","ug/m3 LC","30","WATER STREET","1","100.0000","88101","PM2.5 - Local Conditions","28300","Keene, NH","33","New Hampshire","005","Cheshire","42.9305210009409","-72.272332"
"01/07/2020","AirNow","330050007","3","5.6","ug/m3 LC","23","WATER STREET","1","100.0000","88101","PM2.5 - Local Conditions","28300","Keene, NH","33","New Hampshire","005","Cheshire","42.9305210009409","-72.272332"
"01/08/2020","AirNow","330050007","3","6.3","ug/m3 LC","26","WATER STREET","1","100.0000","88101","PM2.5 - Local Conditions","28300","Keene, NH","33","New Hampshire","005","Cheshire","42.9305210009409","-72.272332"
"01/09/2020","AirNow","330050007","3","2.1","ug/m3 LC","9","WATER STREET","1","100.0000","88101","PM2.5 - Local Conditions","28300","Keene, NH","33","New Hampshire","005","Cheshire","42.9305210009409","-72.272332"
"01/10/2020","AirNow","330050007","3","6.3","ug/m3 LC","26","WATER STREET","1","100.0000","88101","PM2.5 - Local Conditions","28300","Keene, NH","33","New Hampshire","005","Cheshire","42.9305210009409","-72.272332"
"01/11/2020","AirNow","330050007","3","5.5","ug/m3 LC","23","WATER STREET","1","100.0000","88101","PM2.5 - Local Conditions","28300","Keene, NH","33","New Hampshire","005","Cheshire","42.9305210009409","-72.272332"
"01/12/2020","AirNow","330050007","3","0.3","ug/m3 LC","1","WATER STREET","1","100.0000","88101","PM2.5 - Local Conditions","28300","Keene, NH","33","New Hampshire","005","Cheshire","42.9305210009409","-72.272332"
