"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/10/2019","AQS","100010002","3","7.9","ug/m3 LC","33","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"02/11/2019","AQS","100010002","3","10","ug/m3 LC","42","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"02/12/2019","AQS","100010002","3","3.9","ug/m3 LC","16","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"02/13/2019","AQS","100010002","3","6.8","ug/m3 LC","28","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"02/14/2019","AQS","100010002","3","4.1","ug/m3 LC","17","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"02/15/2019","AQS","100010002","3","7.4","ug/m3 LC","31","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"02/16/2019","AQS","100010002","3","9","ug/m3 LC","38","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"02/17/2019","AQS","100010002","3","6.2","ug/m3 LC","26","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"02/18/2019","AQS","100010002","3","5.4","ug/m3 LC","23","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
"02/19/2019","AQS","100010002","3","7.3","ug/m3 LC","30","PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS","1","100.0000","88101","PM2.5 - Local Conditions","20100","Dover, DE","10","Delaware","001","Kent","38.986672","-75.5568"
